package_name	version	installation_command	package_manager	conda_channel	area	link	necessity	description	comment	language	bug_flag
python	3.9	conda install -c conda-forge python	conda	conda-forge	language	https://anaconda.org/conda-forge/python	required	the python programming language itself			
pyarrow		conda install -c conda-forge pyarrow	conda	conda-forge	data wrangling	https://arrow.apache.org/docs/python/install.html	optional	pyarrow is required to save pandas data frames as .feather files (which is the format to exchange data between python and R)	Not recommended to install that, because the 'R-side' of this version can not be installed on the CIMH servers (not sure if this issue still exists). Besides, one can also use rpy2 to exchange files. 	python	cross-platform
arrow		conda install -c conda-forge --strict-channel-priority r-arrow	conda	conda-forge	data wrangling	https://arrow.apache.org/docs/r/	optional		Note: This currently seems to work for Windows but struggles with installation on Linux! Arrow is required to save data frames as .feather files (which is the format to exchange data between python and R). This documented error happens on the server: https://arrow.apache.org/docs/r/articles/install.html#package-failed-to-build-c-dependencies	R	cross-platform
sklearn-pandas		conda install -c conda-forge sklearn-pandas	conda	conda-forge	data wrangling	https://github.com/scikit-learn-contrib/sklearn-pandas	optional	Nötig, um scikit-learn transfomer direkt auf pandas data frames anzuwenden 		python	
datalad		conda install -c conda-forge datalad	conda	conda-forge	data wrangling	https://www.datalad.org/	optional	Allows you to download and manage datalad datasets	https://www.datalad.org/	python	
tableone		conda install -c conda-forge tableone	conda 	conda-forge	data wrangling	https://github.com/tompollard/tableone	required	Package for plotting descriptive statistics		python	
xmltodict		pip install xmltodict	pip		data wrangling	https://pypi.org/project/xmltodict/	optional	working with xml files	this is required for Johannes pycat library	python	
plotly-orca		conda install -c plotly plotly-orca	conda	plotly	dependency	https://plotly.com/python/orca-management/	required	Optional addon  for plotly to export static images	Plotly people now recommend to use kaleido instead (https://plotly.com/python/static-image-export/). So this should be changed to kaleido	python	
bokeh		conda install -c bokeh bokeh	conda	bokeh	dependency	https://docs.bokeh.org/en/latest/	required	Optional addon  for holoviews to create interactive plots		python	
spyder		conda install -c anaconda spyder	conda	conda-forge	ide	https://www.spyder-ide.org/	required	scientific python IDE		python	
scikit-learn		conda install -c conda-forge scikit-learn	conda	conda-forge	machine learning	https://scikit-learn.org/stable/index.html	required	machine learning libary	similar to nilearn, this can be installed both using conda and pip (sklearn developers don't recommend one over the other), note that sciki-learn is a dependeny from nilearn and so will automatically be installed when installing nilearn	python	
nilearn		conda install -c conda-forge nilearn	conda	conda-forge	neuroimaging	https://nilearn.github.io/index.html#	required	Statistics for NeuroImaging in python	there seems to be a discussion to use conda instead of pip among the nilearn developers but currently pip seems to be recommended	python	
nipype		conda install -c conda-forge nipype	conda	conda-forge	neuroimaging	https://nipype.readthedocs.io/en/latest/index.html	required	python interface package for common neuroimaging software		python	
yellowbrick		conda install -c districtdatalabs yellowbrick	conda	districtdatalabs	plotting	https://www.scikit-yb.org/en/latest/index.html	optional	Builds upon seaborn and has some advanced plotting classes such as Radviz (https://www.scikit-yb.org/en/latest/api/features/radviz.html)		python	
plotly		conda install -c plotly plotly	conda	plotly	plotting	https://plotly.com/python/	required	Plotting library similar to seaborn but allows for interactive plots	We also install plotly-orca, so we are able to plot static images (.jpg,.png, etc.)	python	
holoviews		conda install -c pyviz holoviews	conda	pyviz	plotting	https://holoviews.org/index.html	required	wrapper around common python plotting libraries (note that installation command will also install bokeh and pyviz, which is the recommended way from holoviews)	Johannes niplot module needs this	python	
dash		conda install -c conda-forge dash	conda	conda-forge	plotting	https://dash.plotly.com/introduction	optional	Used for nct_tutorial from Johannes		python	
dash-bootstrap-components		conda install -c conda-forge dash-bootstrap-components	conda	conda-forge	plotting	https://dash-bootstrap-components.opensource.faculty.ai/docs/quickstart/	optional	Used for nct_tutorial from Johannes	Allows to create dash-apps using a grid-layout (e.g. rows and columns)	python	
adjustText		pip install adjustText	pip		plotting	https://github.com/JohannesWiesner/pycat/blob/master/pycat.py	optional	adjust text in matplotlib figures		python	
dash-cytoscape		pip install dash-cytoscape	pip		plotting	https://dash.plotly.com/cytoscape	optional	Used for nct_tutorial from Johannes	Allows to plot networks in dash	python	
brainrender		pip install brainrender	pip		plotting	https://github.com/brainglobe/brainrender	optional	plotting 3D brains		python	
statannotations		conda install -c conda-forge statannotations	conda	conda-forge	plotting	https://github.com/trevismd/statannotations	optional	A library that allows you to plot figures using seaborn and also computing significance tests and adding asterisks	Note, that the original package statannot is not maintained anymore, this is why we use statannotations which is a maintained branch	python	
fastcluster		conda install -c conda-forge fastcluster	conda	conda-forge	statistical modelling	https://anaconda.org/conda-forge/fastcluster	required	This package can speed up hierarchical clustering methods such as used in seaborn.clustermap		python	
pingouin		conda install -c conda-forge pingouin	conda	conda-forge	statistical modelling	https://pingouin-stats.org/index.html#	required	Implements commong statistical tests (ANOVA, t-test, etc.)		python	
pymer4		conda install -c conda-forge pymer4	conda	ejolly	statistical modelling	https://eshinjolly.com/pymer4/index.html	optional	A library that allows you to compute mixed models (with the lme4 R package) using python (and the ryp2 package)	pymer4 depends on R (and lme4) and on rpy2 so this will automatically be installed in the environment (see: https://eshinjolly.com/pymer4/installation.html)	python	
network_control		pip install network_control	pip		statistical modelling	https://github.com/BassettLab/control_package	required	Package to compute network control measures		python	
semopy		pip install semopy	pip		statistical modelling	https://semopy.com/	optional	Used for structural equation modelling in python		python	
cca-zoo		pip install cca-zoo	pip		statistical modelling	https://cca-zoo.readthedocs.io/en/latest/index.html	optional	implementing canonical correlation analysis in python		python	
bctpy		pip install btcpy	pip		statistical modelling	https://github.com/aestrivex/bctpy	optional	A library that allows you to compute all sorts of topological measures on connectivity matrices		python	
gemmr		pip install gemmr	pip		statistical modelling	https://github.com/murraylab/gemmr	optional	A library that allows you to use Witten et als. PMA function via rpy2		python	
gower		pip install gower	pip		statistical modelling	https://pypi.org/project/gower/	optional	A package that allows you to compute Gower Distance Matrices		python	
resample		pip install resample	pip		statistical modelling	https://github.com/scikit-hep/resample	optional	Allows you to do permutation and bootstrapping resampling 	This requires a C-compiler to be installed on your machine. On CIMH machines this can be tedious to install	python	cross-platform
r-essentials		conda install -c conda-forge r-essentials	conda	conda-forge	data wrangling	https://tinyurl.com/54j96j5x	required	The R Essentials bundle contains approximately 200 of the most popular R packages for data science, including the IRKernel, dplyr, shiny, ggplot2, tidyr, caret, and nnet. It is used as an example in the following guides.		R	
r-matrixstats		conda install -c conda-forge r-matrixstats	conda	conda-forge	data wrangling	https://anaconda.org/conda-forge/r-matrixstats	optional		required for reproducing Xia et al. CCA analysis	R	
r-repr		conda install -c conda-forge r-repr	conda	conda-forge	dependency	https://anaconda.org/conda-forge/r-repr	optional	This is required if you want to use the variableinspector	https://github.com/lckr/jupyterlab-variableInspector#requirements-for-r-functionality	R	
rtools		conda install -c r rtools	conda	r	dependency	https://anaconda.org/r/rtools	required		Why do I added this? Check why exactly this has to be installed. Current hypothesis: This is needed for devtools.This package is necessary to be able to install R-packages from GitHub. This package is not available in Linux	R	linux
